model,epsilon,rank,radius,predicted_gain,observed_gain,relative_vector_error
resnet18,0.2,8,1.0,1.4881636202411122,1.4881110938126332,3.4816842814286033e-05
resnet18,0.2,32,0.0,1.0,1.0,3.8624519805403335e-08
resnet18,0.2,32,0.25,1.1247891735957387,1.1247884496666616,6.247222372801862e-07
resnet18,0.2,32,0.5,1.246794142436106,1.2467924576938259,1.354120190495729e-06
resnet18,0.2,32,1.0,1.4699892878467973,1.4699855288966057,2.5975723220479176e-06
vit_b_16,0.05,1,0.0,1.0,1.0,0.0001275937907392558
vit_b_16,0.05,1,0.25,1.1363385221471258,1.1362832264634275,7.740743420187443e-05
vit_b_16,0.05,1,0.5,1.2980271779024921,1.2978639643882308,2.0104657582896113e-06
vit_b_16,0.05,1,1.0,1.7113999622169782,1.7107159613558947,0.0002829453474297186
vit_b_16,0.05,8,0.0,1.0,1.0,1.4575466906008974e-06
vit_b_16,0.05,8,0.25,1.1273815534243172,1.1273782924015059,1.7680938526317e-06
vit_b_16,0.05,8,0.5,1.258028147380551,1.2580201499498882,5.633640838571892e-06
vit_b_16,0.05,8,1.0,1.5184492629499542,1.5184288146571157,1.3582858206004628e-05
vit_b_16,0.05,32,0.0,1.0,1.0,5.954960030137133e-08
vit_b_16,0.05,32,0.25,1.1252603289750525,1.125260143706744,1.4345449050066165e-07
vit_b_16,0.05,32,0.5,1.2488247649254223,1.2488243259768141,3.670099847954374e-07
vit_b_16,0.05,32,1.0,1.4785816316307783,1.4785806043524818,7.80435566090623e-07
vit_b_16,0.1,1,0.0,1.0,1.0,0.0005105780738045538
vit_b_16,0.1,1,0.25,1.1363385221471258,1.1361174400799208,0.0003098572272421398
vit_b_16,0.1,1,0.5,1.2980271779024921,1.2973751976595798,7.304859267112142e-06
vit_b_16,0.1,1,1.0,1.7113999622169782,1.7086749864438888,0.001125367479411564
vit_b_16,0.1,8,0.0,1.0,1.0,5.869196986420222e-06
vit_b_16,0.1,8,0.25,1.1273815534243172,1.1273685094102863,7.032920928354212e-06
vit_b_16,0.1,8,0.5,1.258028147380551,1.2579961555691894,2.249596427058477e-05
vit_b_16,0.1,8,1.0,1.5184492629499542,1.5183674306895374,5.4311856183864714e-05
vit_b_16,0.1,32,0.0,1.0,1.0,1.3367589478410536e-07
vit_b_16,0.1,32,0.25,1.1252603289750525,1.125259592826088,6.564889969405153e-07
vit_b_16,0.1,32,0.5,1.2488247649254223,1.2488230320138316,1.542598750299736e-06
vit_b_16,0.1,32,1.0,1.4785816316307783,1.4785776464817766,3.1433299519478917e-06
vit_b_16,0.2,1,0.0,1.0,1.0,0.002045561215056301
vit_b_16,0.2,1,0.25,1.1363385221471258,1.135455794731778,0.0012430617271514234
vit_b_16,0.2,1,0.5,1.2980271779024921,1.2954330710123572,1.7725166641074895e-05
vit_b_16,0.2,1,1.0,1.7113999622169782,1.7006713860707392,0.004401919968449057
vit_b_16,0.2,8,0.0,1.0,1.0,2.3513276638325464e-05
vit_b_16,0.2,8,0.25,1.1273815534243172,1.1273293941343714,2.8077187461663406e-05
vit_b_16,0.2,8,0.5,1.258028147380551,1.2579002386743956,8.988921572991144e-05
vit_b_16,0.2,8,1.0,1.5184492629499542,1.5181221338860493,0.0002170351824587635
vit_b_16,0.2,32,0.0,1.0,1.0,4.3731747718688533e-07
vit_b_16,0.2,32,0.25,1.1252603289750525,1.1252573893828415,2.7125583668652573e-06
vit_b_16,0.2,32,0.5,1.2488247649254223,1.2488178564183623,6.245767647473335e-06
vit_b_16,0.2,32,1.0,1.4785816316307783,1.478565815803019,1.2593963369983448e-05
