split_seed,method,tau,delta,scale,validation_log_loss,test_log_loss,test_brier,test_accuracy,test_score_variance,solver_iterations,solver_residual,n_train,n_validation,n_test,candidate_count,selection_grid,model,pair,class_a,class_b,split_index
20270903,SW-tuned,0.0001,1.0,1.0,0.16888205284597146,0.16874739848042786,0.04962061514647287,0.93,24.109126115713668,701,9.901708158604243e-10,480,120,200,55,expanded_tau_x_delta,resnet18,plane_ship,0,8,2
20270903,ERM-tuned,3e-05,0.0,1.0,0.17404684246462265,0.16591291420792345,0.04898480916489504,0.93,27.96517610114414,1241,8.306794149206774e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,2
20270903,ERM-calibrated,0.0003,0.0,2.085237048279405,0.16502069421777474,0.17229020166649903,0.05160174117079357,0.925,34.33583789285527,401,7.616414363343705e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,2
20270903,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5205774900263883,0.5226972421835779,0.1676649840488828,0.89,0.28544852245083563,61,2.672680377880708e-13,480,120,200,0,analytic,resnet18,plane_ship,0,8,2
20270904,SW-tuned,0.0001,1.0,1.0,0.19642165183646762,0.18301651185574763,0.052193247224462044,0.945,24.64318578900647,701,9.643133823122543e-10,480,120,200,55,expanded_tau_x_delta,resnet18,plane_ship,0,8,3
20270904,ERM-tuned,0.0001,0.0,1.0,0.20060275167432537,0.1925422806426013,0.05475250173676836,0.935,15.217398797659579,701,6.065574270434578e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,3
20270904,ERM-calibrated,0.0001,0.0,1.2631716299560851,0.194793645505532,0.1830130700621865,0.052331730664940984,0.935,24.280920580437446,701,6.065574270434578e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,3
20270904,Matched,0.025430806348152438,0.0,1.8591409142295228,0.526701629532229,0.5210851136711131,0.16690789817267399,0.875,0.28973102007644136,61,2.608403682555062e-13,480,120,200,0,analytic,resnet18,plane_ship,0,8,3
20270905,SW-tuned,0.0001,2.0,1.0,0.15075212083129255,0.1758791280520654,0.05228029442956249,0.92,35.204900139427124,721,8.857944090780445e-10,480,120,200,55,expanded_tau_x_delta,resnet18,plane_ship,0,8,4
20270905,ERM-tuned,3e-05,0.0,1.0,0.158896807170709,0.17420970486984025,0.050726984096879264,0.925,27.271339142663095,1241,8.787179608935629e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,4
20270905,ERM-calibrated,0.0003,0.0,2.1561103412393656,0.14580818712159288,0.18094969716654374,0.05456143053481828,0.92,35.0591548014194,401,8.658254115842761e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,4
20270905,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5163905444220559,0.5243322367439825,0.1683362670245375,0.88,0.2739152367505566,61,2.8049059559573266e-13,480,120,200,0,analytic,resnet18,plane_ship,0,8,4
20270901,SW-tuned,0.0003,0.25,1.0,0.22251543396069742,0.211734086346365,0.06325350720696253,0.915,14.292587634861652,241,3.877480738063209e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,cat_dog,3,5,0
20270901,ERM-tuned,0.0003,0.0,1.0,0.22292391427836797,0.21360279242481853,0.06344169458387014,0.915,12.643152211812959,241,3.458283342132108e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,0
20270901,ERM-calibrated,1e-05,0.0,0.5031719286367715,0.2166500812417332,0.22398402852562888,0.06678629304782828,0.905,13.904650347961082,1241,8.045812065968715e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,0
20270901,Matched,0.025430806348152438,0.0,1.8591409142295228,0.3829173031313784,0.37625727400052544,0.10716020362225383,0.91,1.3289350049282012,41,1.0475872102271667e-15,480,120,200,0,analytic,vit_b_16,cat_dog,3,5,0
20270902,SW-tuned,0.0003,2.0,1.0,0.1408330955210167,0.21911618515977757,0.06376160409955824,0.92,28.490630553102466,241,8.986614609524757e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,cat_dog,3,5,1
20270902,ERM-tuned,0.0001,0.0,1.0,0.16052990140560144,0.21773534388494412,0.06365889204813874,0.92,19.658110067628886,401,6.799024617736373e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,1
20270902,ERM-calibrated,0.001,0.0,2.557806424680453,0.13643963848205184,0.2338598114232846,0.06546731484127227,0.92,41.417970847004916,141,9.129223284983383e-11,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,1
20270902,Matched,0.025430806348152438,0.0,1.8591409142295228,0.35698904852041075,0.3789181863335378,0.10806880856836393,0.91,1.2870627375008823,41,1.2190627821455402e-15,480,120,200,0,analytic,vit_b_16,cat_dog,3,5,1
20270903,SW-tuned,0.0003,2.0,1.0,0.1428453075889729,0.22997140207322708,0.06579207394029245,0.915,28.5816413716594,241,9.024651279313563e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,cat_dog,3,5,2
20270903,ERM-tuned,0.0001,0.0,1.0,0.14963272137030798,0.22700075437770478,0.06601732242559942,0.915,19.59468548196131,401,6.915341236438818e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,2
20270903,ERM-calibrated,0.0003,0.0,1.6736725727561745,0.14059333825544826,0.23417080687421904,0.06560027103911009,0.915,33.22184453052872,241,3.4095949878572277e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,2
20270903,Matched,0.025430806348152438,0.0,1.8591409142295228,0.36314332974385444,0.3780116325785944,0.10790047568585565,0.91,1.3150612378308166,41,1.1264893759249737e-15,480,120,200,0,analytic,vit_b_16,cat_dog,3,5,2
