bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,512,0.02,0.0,0,2.7496256223873634,3.1467770842893628,3.131288739416632,2.754685217437118,0.023229795170092986,0.005059595049753738,0.3688620716821529,2.7779150126072096,0.0010861063320224624,0.014236608019131075,0.03555570890905394,-0.0016874901924871606,0.011615569451654307,2.765744879321485,2.7924071638707715,2.366056052717869,4.061685616793082
0.7,512,0.02,0.0,1,0.6333714970835536,0.6859044228724048,0.689235640301516,0.6313179250052685,0.004064902948802536,-0.002053572078285021,0.0505215949183338,0.6353828279540711,0.0010861063320224624,0.002737602860288943,0.005582826521843813,-0.0041931598798732855,0.00014115332567370177,0.6326654711973788,0.6382681123668869,0.5325174765852281,0.8590223169247115
0.7,512,0.02,0.0,2,0.6226866563504915,0.6633937732304304,0.6671808584865215,0.6210569324616011,0.004667980661302303,-0.001629723888890301,0.03766886010752685,0.6257249131229036,0.0010861063320224624,0.002466776849230158,0.007634646370873378,-0.003447077909348226,0.0003028547936395867,0.6227605766808576,0.6291256464604544,0.47676608636958945,0.878872228236691
0.7,512,0.02,0.5,0,4.728393326843619,5.3753994749810525,5.34870140892876,4.7362581856492305,0.0013877596384025282,0.007864858805610409,0.6377535296934197,4.737645945287633,0.0008822589175744473,-0.0022776014868527675,0.006669290473326003,-0.003604070385792633,0.01891095642090178,4.725621042784488,4.749459555589681,4.043131408439665,6.936123053678718
0.7,512,0.02,0.5,1,1.0724410662208406,1.1543619996099248,1.1598938148218803,1.0689359860835734,-0.0009024668718839524,-0.0035050801372670847,0.08632848039823526,1.0680335192116897,0.0008822589175744473,-0.001629157940255037,-0.00022029134324928992,-0.007039233528650948,0.00013093990173192462,1.0645624677276493,1.0716202245560826,0.896555898612421,1.443112673840424
0.7,512,0.02,0.5,2,1.0527821919937403,1.1144651636336662,1.12078440886066,1.0498748004583287,-0.0002546969044482341,-0.00290739153541169,0.06484506007978576,1.0496201035538804,0.0008822589175744473,-0.0011180763914886247,0.0008230289499799644,-0.00588875450136592,0.0002742998218277163,1.046466554529213,1.0529022626008082,0.8017190168027182,1.4754246456852964
0.7,512,0.02,1.0,0,8.752536624192677,9.81023131993214,9.7600153427022,8.762776838774101,-0.1509895378536797,0.010240214581424585,1.1984440190117176,8.611787300920422,0.004970464440969638,-0.2141021169372226,-0.10150866097397036,-0.01048032828503242,0.02981944210594027,8.549890602808805,8.664275350190923,7.385983601358324,12.64761234717219
0.7,512,0.02,1.0,1,1.8943955788410023,2.015664316601094,2.0249708325817983,1.8882028431490423,-0.028711544337627876,-0.006192735691960229,0.15617301778967954,1.859491298811414,0.004970464440969638,-0.038714988389993446,-0.019989163519204295,-0.011717390913752929,-0.0003655920652562175,1.849910662279991,1.8686136074648938,1.5658478185461036,2.5189749593224864
0.7,512,0.02,1.0,2,1.850373730035156,1.9350861723253312,1.945806035193546,1.8446153886120402,-0.029625353497286632,-0.005758341423115712,0.12009613721057776,1.8149900351147537,0.004970464440969638,-0.04467182516414365,-0.018036233080085326,-0.010536040891963926,-0.0007548241259349402,1.7983344056810469,1.8282290024151617,1.3960473130509343,2.561799428465816
0.7,512,0.08,0.0,0,1.2962166340403238,1.4882837309185155,1.4794547332429937,1.2947376180780086,0.002615357464826854,-0.0014790159623151266,0.1909307553756798,1.2973529755428357,0.00011538156940470213,0.001433172828019029,0.0043186529297927125,-0.0027897200564473298,-0.000286845183442742,1.295477028134962,1.2994314675814622,1.1169137904587656,1.9337502812728449
