grid,epsilon,delta,c1,c3,matched_c1,matched_c3,absolute,relative,residual,min_gram_eigenvalue
512,0.025,0.5,0.05216862309951477,1.5038787140863328e-08,0.05217179862567489,7.391674214951593e-08,2.2458220106609307e-06,6.0880885050272883e-05,7.822478229598487e-16,7.644394464685589e-08
512,0.05,0.5,0.10434213091755237,1.2088151765259373e-07,0.1043675234117647,5.914115310721134e-07,1.795828723482662e-05,0.0002433997958555602,7.822478229598487e-16,7.644394464685589e-08
512,0.1,0.5,0.20872397934571707,9.852227745426332e-07,0.20892674739036785,4.733774063908278e-06,0.00014340315820993767,0.0009716310117366047,7.822478229598487e-16,7.644394464685589e-08
512,0.2,0.5,0.4177858583296086,8.449756873974952e-06,0.4193964722603646,3.7949453212405334e-05,0.0011390670451958413,0.003855764936322573,7.822478229598487e-16,7.644394464685589e-08
512,0.025,1,0.07030953827069544,-1.6733593570874856e-07,0.07032458191323315,7.741169089108728e-08,1.0638869352582658e-05,0.0002139913544698411,1.9241569913727866e-15,7.644394464685589e-08
512,0.05,1,0.1405576300525035,-1.3323949565934652e-06,0.14067771471450569,6.193505319497007e-07,8.492389345374369e-05,0.0008544575050216344,1.9241569913727866e-15,7.644394464685589e-08
512,0.1,1,0.2806317711157231,-1.0461324665635e-05,0.2815841273515912,4.95662620169572e-06,0.0006735057955385969,0.0033940598597904095,1.9241569913727866e-15,7.644394464685589e-08
512,0.2,1,0.557637742288962,-7.777698275596048e-05,0.5650071827747016,3.9711024546649435e-05,0.005211643528792167,0.013217141398514555,1.9241569913727866e-15,7.644394464685589e-08
1024,0.025,0,0.03990192998805554,6.152902885412856e-08,0.03990192998805554,6.152902885412856e-08,0.0,0.0,3.049514890920291e-16,9.555698907012195e-09
1024,0.05,0,0.07982287651438255,4.923037605318592e-07,0.07982287651438255,4.923037605318592e-07,0.0,0.0,3.049514890920291e-16,9.555698907012195e-09
1024,0.1,0,0.15979813001707355,3.940718408448202e-06,0.15979813001707355,3.940718408448202e-06,0.0,0.0,3.049514890920291e-16,9.555698907012195e-09
1024,0.2,0,0.3208231532018416,3.159888880792383e-05,0.3208231532018416,3.159888880792383e-05,0.0,0.0,3.049514890920291e-16,9.555698907012195e-09
