a,b,tau,delta,third,baseline_third,third_magnitude_ratio,third_sign_reversal,fundamental_ratio,rkhs_norm_ratio,baseline_linear_third
0.3,0.25,0.02,0.02,0.000428290419619346,0.00042437047910093067,1.0092370716424952,False,1.010022403695936,1.0100158383808577,0.00040818202920458904
0.3,0.25,0.02,0.1,0.0004439386724920972,0.00042437047910093067,1.0461111089362851,False,1.0517246412397665,1.0516195687419736,0.00040818202920458904
0.3,0.25,0.02,0.25,0.00047290336397992844,0.00042437047910093067,1.1143644227605543,False,1.1373490365632413,1.136711574826352,0.00040818202920458904
0.3,0.25,0.02,0.5,0.0005184708991955752,0.00042437047910093067,1.2217412019186755,False,1.304307534605241,1.301580991559526,0.00040818202920458904
0.3,0.25,0.02,1.0,0.0005842108647188802,0.00042437047910093067,1.3766529329669364,False,1.747526034951295,1.7349936152751368,0.00040818202920458904
0.3,0.25,0.08,0.005,0.0001266266237259231,0.00012632259344080426,1.0024067767834524,False,1.0024951266477342,1.0024948386311583,0.0001253006144394427
0.3,0.25,0.08,0.02,0.0001275384519347268,0.00012632259344080426,1.0096250279605943,False,1.0100173975083788,1.0100160981301676,0.0001253006144394427
0.3,0.25,0.08,0.1,0.00013239067644698325,0.00012632259344080426,1.0480364029972402,False,1.0510849541519498,1.0510743714370612,0.0001253006144394427
0.3,0.25,0.08,0.25,0.00014139212656500333,0.00012632259344080426,1.1192940448239037,False,1.132537232643481,1.132490569076716,0.0001253006144394427
0.3,0.25,0.08,0.5,0.00015584942901602171,0.00012632259344080426,1.2337415245440948,False,1.281802466171913,1.2816456154443778,0.0001253006144394427
0.3,0.25,0.08,1.0,0.00018110417487141733,0.00012632259344080426,1.4336641604519,False,1.6313467200073557,1.6309736647710256,0.0001253006144394427
0.3,0.5,0.02,0.005,0.0008508841267662916,0.000848873357773808,1.002368750266538,False,1.0024884373215743,1.0024861325273977,0.0008293385526820371
0.3,0.5,0.02,0.02,0.0008569210030394542,0.000848873357773808,1.0094803838428283,False,1.010012856801449,1.0099953332596936,0.0008293385526820371
0.3,0.5,0.02,0.1,0.0008892067444545189,0.000848873357773808,1.0475140211568028,False,1.0516821393709397,1.0513628578590406,0.0008293385526820371
0.3,0.5,0.02,0.25,0.0009498177976237877,0.000848873357773808,1.1189157828144225,False,1.137268335103305,1.135268442506307,0.0008293385526820371
0.3,0.5,0.02,0.5,0.0010488046286772643,0.000848873357773808,1.2355254397755882,False,1.3042319860851685,1.2955712554963044,0.0008293385526820371
0.3,0.5,0.02,1.0,0.0012182255843065839,0.000848873357773808,1.4351087510879261,False,1.747610821926623,1.7073953246765348,0.0008293385526820371
0.3,0.5,0.08,0.005,0.00025482077346803805,0.0002542008529931134,1.0024387033624211,False,1.0024940018954787,1.0024934854362526,0.0002530073657052304
0.3,0.5,0.08,0.02,0.0002566806285503484,0.0002542008529931134,1.0097551818887962,False,1.0100129247017928,1.0100095020201696,0.0002530073657052304
0.3,0.5,0.08,0.1,0.00026659455439431793,0.0002542008529931134,1.0487555460781253,False,1.0510633199671273,1.0510083994161044,0.0002530073657052304
0.3,0.5,0.08,0.25,0.0002850730374330998,0.0002542008529931134,1.1214479970325777,False,1.1324868076729486,1.1321554135685767,0.0002530073657052304
0.3,0.5,0.08,0.5,0.0003150659318755765,0.0002542008529931134,1.2394369576883835,False,1.2817137954238027,1.280328881866249,0.0002530073657052304
0.3,0.5,0.08,1.0,0.0003690141112546307,0.0002542008529931134,1.451663544435973,False,1.6311996322448912,1.625391487469432,0.0002530073657052304
0.6,0.0,0.02,0.005,-4.4403596447716454e-05,-4.423535099091027e-05,1.003803416340943,False,1.0024925183468896,1.0024923584286083,-5.76937416836811e-05
0.6,0.0,0.02,0.02,-4.491417507600519e-05,-4.423535099091027e-05,1.0153457375128414,False,1.0100277102382764,1.0100276812996,-5.76937416836811e-05
0.6,0.0,0.02,0.1,-4.779558875342665e-05,-4.423535099091027e-05,1.0804839948765854,False,1.0517155760849186,1.0517324856511572,-5.76937416836811e-05
0.6,0.0,0.02,0.25,-5.404545292141041e-05,-4.423535099091027e-05,1.221770636170966,False,1.1371420105889083,1.1372741742897712,-5.76937416836811e-05
0.6,0.0,0.02,0.5,-6.781618229174502e-05,-4.423535099091027e-05,1.533076617967387,False,1.3031719684058811,1.303809824803776,-5.76937416836811e-05
0.6,0.0,0.02,1.0,-0.00011683100876465889,-4.423535099091027e-05,2.6411231322357085,False,1.7415481324194817,1.7451691074517806,-5.76937416836811e-05
0.6,0.0,0.08,0.005,-9.04341008956238e-06,-9.011867684875947e-06,1.0035000962940643,False,1.0024958656272323,1.0024956433794456,-9.981317720112858e-06
0.6,0.0,0.08,0.02,-9.138455264486598e-06,-9.011867684875947e-06,1.0140467641156221,False,1.0100205649619536,1.0100213973992749,-9.981317720112858e-06
0.6,0.0,0.08,0.1,-9.656224732388979e-06,-9.011867684875947e-06,1.0715009440933554,False,1.0511067106382737,1.0511589601287163,-9.981317720112858e-06
0.6,0.0,0.08,0.25,-1.0679720244016755e-05,-9.011867684875947e-06,1.1850729080210376,False,1.132623976667203,1.1330061854602624,-9.981317720112858e-06
0.6,0.0,0.08,0.5,-1.2559650056342183e-05,-9.011867684875947e-06,1.3936789237840517,False,1.2821296445981911,1.2839004834267291,-9.981317720112858e-06
0.6,0.0,0.08,1.0,-1.7087213832715255e-05,-9.011867684875947e-06,1.8960790848484887,False,1.6332782752659856,1.6422875467626115,-9.981317720112858e-06
0.6,0.25,0.02,0.005,0.0008167454687024818,0.0008148068165888514,1.0023792782217342,False,1.002490001997809,1.0024886823107366,0.0007958168370898184
0.6,0.25,0.02,0.02,0.0008225663515984043,0.0008148068165888514,1.0095231591729164,False,1.010018124174028,1.0100106223494012,0.0007958168370898184
0.6,0.25,0.02,0.1,0.000853710208477266,0.0008148068165888514,1.0477455405334994,False,1.0516807763117064,1.0515812109516842,0.0007958168370898184
0.6,0.25,0.02,0.25,0.0009122377448286766,0.0008148068165888514,1.1195754947752095,False,1.137119624463633,1.1365489486703353,0.0007958168370898184
0.6,0.25,0.02,0.5,0.0010079853855251846,0.0008148068165888514,1.237085116377727,False,1.3033470254148638,1.3009665053528159,0.0007958168370898184
0.6,0.25,0.02,1.0,0.0011721095864556006,0.0008148068165888514,1.4385122492747173,False,1.7425233305114212,1.7319059207816303,0.0007958168370898184
0.6,0.25,0.08,0.005,0.0002478681483283685,0.0002472652291679991,1.0024383499548162,False,1.00249416362332,1.002493626611148,0.0002459734958505335
0.6,0.25,0.08,0.02,0.0002496772287211501,0.0002472652291679991,1.0097547057516616,False,1.0100136397833481,1.0100123490839685,0.0002459734958505335
0.6,0.25,0.08,0.1,0.00025932656324120947,0.0002472652291679991,1.0487789331067472,False,1.0510687871072595,1.051086314270347,0.0002459734958505335
0.6,0.25,0.08,0.25,0.00027734130908341746,0.0002472652291679991,1.1216348939016565,False,1.1325114219094414,1.1326819993361377,0.0002459734958505335
0.6,0.25,0.08,0.5,0.0003066744859467539,0.0002472652291679991,1.2402653093548808,False,1.2818277018461302,1.2826953164118176,0.0002459734958505335
0.6,0.25,0.08,1.0,0.0003597822703400831,0.0002472652291679991,1.4550459502562598,False,1.6321821895149153,1.6371013088390896,0.0002459734958505335
0.6,0.5,0.02,0.005,0.0016788835721195834,0.0016748463022085887,1.0024105315847018,False,1.0024867517246168,1.0024842275322754,0.001649327415863322
0.6,0.5,0.02,0.02,0.0016910102641721362,0.0016748463022085887,1.0096510121210718,False,1.0100054544460602,1.0099882349920024,0.001649327415863322
0.6,0.5,0.02,0.1,0.0017560210390762327,0.0016748463022085887,1.0484669767969756,False,1.0516264249083431,1.0513416150873987,0.001649327415863322
0.6,0.5,0.02,0.25,0.0018789207729270983,0.0016748463022085887,1.1218466855432647,False,1.1370268069017038,1.135284163505772,0.001649327415863322
0.6,0.5,0.02,0.5,0.0020831399307872592,0.0016748463022085887,1.2437797593965854,False,1.3032964396057034,1.2958186722751774,0.001649327415863322
0.6,0.5,0.02,1.0,0.0024566238038821776,0.0016748463022085887,1.46677566809723,False,1.742618065728208,1.7081740681352338,0.001649327415863322
0.6,0.5,0.08,0.005,0.0005048298965819307,0.0005035936249429239,1.0024548993032765,False,1.002492268217923,1.0024914720683005,0.0005019283094211812
0.6,0.5,0.08,0.02,0.0005085396899224908,0.0005035936249429239,1.0098215400961985,False,1.0100059251820497,1.0100023358861363,0.0005019283094211812
0.6,0.5,0.08,0.1,0.0005283357043439035,0.0005035936249429239,1.0491310417279087,False,1.051026484654092,1.0509973216309565,0.0005019283094211812
0.6,0.5,0.08,0.25,0.0005653395853738002,0.0005035936249429239,1.1226106872140695,False,1.1323857394223158,1.1322576772998783,0.0005019283094211812
0.6,0.5,0.08,0.5,0.0006257698446443866,0.0005035936249429239,1.242608749694379,False,1.2814920590338001,1.281067478370469,0.0005019283094211812
0.6,0.5,0.08,1.0,0.0007361521068708326,0.0005035936249429239,1.4617979069021503,False,1.6309967502251779,1.6300927669890741,0.0005019283094211812
